Year,PH
1988,8.109449999999999
1989,8.107479999999999
1990,8.118611111111111
1991,8.11109
1992,8.107481818181817
1993,8.109916666666667
1994,8.107044444444446
1995,8.103833333333334
1996,8.09602
1997,8.099920000000001
1998,8.094291666666667
1999,8.095220000000001
2000,8.086836363636364
2001,8.087433333333333
2002,8.08902
2003,8.093363636363636
2004,8.090558333333334
2005,8.082600000000001
2006,8.086791666666667
2007,8.076755555555556
2008,8.079025
2009,8.07554
2010,8.077877777777779
2011,8.07836
2012,8.067820000000001
2013,8.06887
2014,8.07105
2015,8.067029999999999
2016,8.06961111111111
2017,8.0646
2018,8.0631625
2019,8.051722222222221
2020,8.0528375
2021,8.05621111111111
