Year,Temp
1750,-0.3598737759186967
1751,-0.35986687338169115
1752,-0.35985989898212417
1753,-0.3598528473027331
1754,-0.3598457053062805
1755,-0.3598385193671179
1756,-0.3598312479859166
1757,-0.35982384157891073
1758,-0.3598163453449871
1759,-0.3598087592298484
1760,-0.3598010443587832
1761,-0.3597931581178993
1762,-0.3597851219627268
1763,-0.35977691015264635
1764,-0.35976854763803057
1765,-0.3597600042515574
1766,-0.3597512901996638
1767,-0.359742373318499
1768,-0.3597332257271003
1769,-0.3597238483712691
1770,-0.3597142383130777
1771,-0.35970442847580625
1772,-0.35969443225256
1773,-0.35968430055665646
1774,-0.35967401897287926
1775,-0.35966349781665785
1776,-0.3596527453800802
1777,-0.35964176884727456
1778,-0.3596305839696128
1779,-0.3596191850194568
1780,-0.35960753403341017
1781,-0.35959562208469287
1782,-0.3595834558401407
1783,-0.35957093607719065
1784,-0.3595581166955154
1785,-0.3595449348158323
1786,-0.35953139899951486
1787,-0.35951756114750577
1788,-0.3595034099131234
1789,-0.3594888351622359
1790,-0.3594738680982176
1791,-0.35945850946508917
1792,-0.35944241894458223
1793,-0.3594260583709986
1794,-0.3594095346147584
1795,-0.35939316084398026
1796,-0.3593769293264262
1797,-0.3593607207722546
1798,-0.35934376684001085
1799,-0.35932359962057564
1800,-0.35929953389001873
1801,-0.3592760641845628
1802,-0.35924648644681434
1803,-0.3592248126222743
1804,-0.35920150204771767
1805,-0.35917857108364354
1806,-0.35915457412876955
1807,-0.3591280119668348
1808,-0.35910196553006946
1809,-0.3590753056622292
1810,-0.359046328252281
1811,-0.3590168486871019
1812,-0.3589869011079939
1813,-0.3589566661784301
1814,-0.35892568245152756
1815,-0.3588937003766008
1816,-0.35886031734456486
1817,-0.35882416122874344
1818,-0.35878645243577
1819,-0.3587490825170485
1820,-0.35871185721568766
1821,-0.35867365876468205
1822,-0.35863402043416215
1823,-0.3585926680312441
1824,-0.35855041614406197
1825,-0.3585058549841137
1826,-0.3584608159589337
1827,-0.35841258040243534
1828,-0.35836365276146137
1829,-0.35831499981965753
1830,-0.35824970484727936
1831,-0.358188619860651
1832,-0.35812838532923436
1833,-0.35806730174846746
1834,-0.3580021719868258
1835,-0.35793070520916725
1836,-0.35785227156606786
1837,-0.3577743479366422
1838,-0.3576966841714662
1839,-0.3576162264620444
1840,-0.35752905093598353
1841,-0.35743941218798675
1842,-0.35734447340090303
1843,-0.3572473476084446
1844,-0.3571431977284611
1845,-0.35702943935023473
1846,-0.3569137594543294
1847,-0.35678847862512486
1848,-0.35666111471423306
1849,-0.3565254212134731
1850,-0.35638105481675403
1851,-0.3562352824558283
1852,-0.35608309266742433
1853,-0.3559237809505801
1854,-0.35573665083037476
1855,-0.3555457997044685
1856,-0.35534233394344217
1857,-0.3551369343524426
1858,-0.3549283846705134
1859,-0.3547071733568943
1860,-0.35446433015684514
1861,-0.35420914295001116
1862,-0.3539490373705351
1863,-0.3536715483725351
1864,-0.353372380183361
1865,-0.3530547705841854
1866,-0.35272711270013
1867,-0.3523762631351355
1868,-0.35201558780172937
1869,-0.3516326048658717
1870,-0.35124126888955454
1871,-0.3508253134390837
1872,-0.35036503229872273
1873,-0.34987600294199006
1874,-0.34941797349130693
1875,-0.3489211424398225
1876,-0.348417218729112
1877,-0.34790329828666783
1878,-0.34738529147596203
1879,-0.34683058486405777
1880,-0.34620402531017386
1881,-0.34555572647847865
1882,-0.3448708752189038
1883,-0.34414244408776
1884,-0.34340566253563765
1885,-0.34266337567104205
1886,-0.34190950996692177
1887,-0.3411179814098006
1888,-0.3402416273825752
1889,-0.3393650742160981
1890,-0.3384109356927738
1891,-0.3374117540572923
1892,-0.3364047606453593
1893,-0.3354101817387347
1894,-0.3343807190502797
1895,-0.3332893183313211
1896,-0.33216201289333686
1897,-0.33098124216164637
1898,-0.3297359495052933
1899,-0.32837579378350323
1900,-0.3269433636474507
1901,-0.3254635811470197
1902,-0.3239464219553716
1903,-0.3222924800725142
1904,-0.32061971967712405
1905,-0.31883867933144816
1906,-0.31697882364687796
1907,-0.31485952561779706
1908,-0.3128223172787915
1909,-0.3107014218799579
1910,-0.30847516413366244
1911,-0.3062155851956263
1912,-0.30384120284587895
1913,-0.30126847941571855
1914,-0.2989348993338659
1915,-0.296634705967465
1916,-0.29415033865682355
1917,-0.2915525569931199
1918,-0.2889893808739429
1919,-0.286766852842939
1920,-0.2841830118807246
1921,-0.2819156591743918
1922,-0.27953808480000736
1923,-0.2768406554396662
1924,-0.274135164388249
1925,-0.2714004603276856
1926,-0.26871418599392966
1927,-0.2657820338244686
1928,-0.2628626235587467
1929,-0.2597288529493239
1930,-0.2568389136052277
1931,-0.2542561910953394
1932,-0.25192765861385547
1933,-0.24947582569679863
1934,-0.2468092074491045
1935,-0.2440101062010663
1936,-0.24093899320897155
1937,-0.23765603296063714
1938,-0.23456922707643793
1939,-0.2313031327633975
1940,-0.22773612906211518
1941,-0.22408880304995973
1942,-0.22044971592906196
1943,-0.21675038221392776
1944,-0.21299512624936068
1945,-0.20987146052615105
1946,-0.20646237593906042
1947,-0.2026866678450486
1948,-0.19870611854238993
1949,-0.19490456490305508
1950,-0.19055392109778618
1951,-0.18587157638270438
1952,-0.18112610635921494
1953,-0.17624604887227277
1954,-0.17126426769501316
1955,-0.16580234835439614
1956,-0.1599866745691539
1957,-0.15398049532676542
1958,-0.1478044196320328
1959,-0.14130732764812468
1960,-0.1344200584743621
1961,-0.12751227223444225
1962,-0.12036075466569579
1963,-0.11282806226331699
1964,-0.10488625169598242
1965,-0.09658778742490287
1966,-0.08788428095991763
1967,-0.07890589775779533
1968,-0.06943736491224373
1969,-0.05934037382937207
1970,-0.04840887848604847
1971,-0.03703373699042328
1972,-0.025129817679283628
1973,-0.01259483092235325
1974,-0.00011422811183020576
1975,0.012396162672900168
1976,0.02559280170033451
1977,0.03916321864616157
1978,0.05315136062290615
1979,0.06753502661237515
1980,0.08183023265695993
1981,0.09578388480126332
1982,0.10962631760013664
1983,0.12355718686395284
1984,0.1379692701860591
1985,0.15286812350755197
1986,0.16798884980007067
1987,0.1835779047993743
1988,0.19977714550547399
1989,0.21619767365156484
1990,0.23289242549892686
1991,0.2499370101271029
1992,0.2664956509563249
1993,0.28322389840736606
1994,0.300125623001791
1995,0.31738667507827
1996,0.3351801861848014
1997,0.35308067116988695
1998,0.3709334573880859
1999,0.3891549887460217
2000,0.4078665105240352
2001,0.42670544326821025
2002,0.44596507639210736
2003,0.4662522225622132
2004,0.48725223735840706
2005,0.5089653885987688
2006,0.5314223139378794
2007,0.5545351866555203
2008,0.5780458734139047
2009,0.6011539987809255
2010,0.6255924572626156
2011,0.6508601538941858
2012,0.6764939761845481
2013,0.7023457363545336
2014,0.7283689918141121
2015,0.7543900592366661
2016,0.780408788203822
2017,0.8068423996615088
2018,0.8338200780451999
2019,0.8609981856098288
2020,0.8866850490874585
2021,0.9136991206463279
2022,0.9409577079108111
2023,0.9673967661446123
2024,0.9930048885371354
2025,1.017770668277784
2026,1.0416826985559622
2027,1.064729572561073
2028,1.0868998834825208
2029,1.108182224509709
2030,1.1285651888320416
2031,1.1480373696389221
2032,1.1665873601197543
2033,1.1842037534639418
2034,1.2008751428608884
2035,1.2165901214999977
2036,1.2313372825706739
2037,1.2451052192623204
2038,1.2578825247643408
2039,1.2696577922661392
2040,1.280419614957119
2041,1.290156586026684
2042,1.298857298664238
2043,1.3065103460591845
2044,1.3131043214009275
2045,1.3186278178788708
2046,1.3230694286824178
2047,1.3264177470009724
2048,1.3286613660239386
2049,1.3297888789407197
2050,1.3297888789407197
2051,1.3286499592133425
2052,1.326360712947991
2053,1.32290973333407
2054,1.3182856135609824
2055,1.3124769468181325
2056,1.3054723262949235
2057,1.2972603451807596
2058,1.2878295966650442
2059,1.2771686739371813
2060,1.2652661701865744
2061,1.2521106786026275
2062,1.2376907923747442
2063,1.2219951046923279
2064,1.2050122087447828
2065,1.1867306977215124
2066,1.1671391648119205
2067,1.1462262032054107
2068,1.123980406091387
2069,1.1003903666592527
2070,1.0754446780984122
2071,1.0491319335982685
2072,1.021440726348226
2073,0.9923596495376876
2074,0.9618772963560578
2075,0.9299822599927399
2076,0.896663133637138
2077,0.8619085104786555
2078,0.8257069837066962
2079,0.7880471465106638
2080,0.748917592079962
2081,0.7083069136039948
2082,0.6662037042721658
2083,0.6225965572738784
2084,0.5774740657985368
2085,0.5308248230355443
2086,0.48263742217430516
2087,0.4329004564042228
2088,0.3816025189147009
2089,0.32873220289514316
2090,0.27427810153495347
2091,0.21822880802353561
2092,0.16057291555029307
2093,0.10129901730462976
2094,0.04039570647594931
2095,-0.02214842374634446
2096,-0.08634478017284797
2097,-0.15220476961415735
2098,-0.21973979888086895
2099,-0.28896127478357897
2100,-0.3598806041328837
